トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
lost & found	Survive Said The Prophet	RED	Survive Said The Prophet	175906	27	2	2021/9/11 21:04
To Whom	"Supper Moment, Survive Said The Prophet"	To Whom	"Supper Moment, Survive Said The Prophet"	288238	24	1	2021/9/11 21:04
Look What I Found	レディー・ガガ	A Star Is Born Soundtrack	"レディー・ガガ, Bradley Cooper"	175240	57	4	2021/9/11 21:07
Shallow	"レディー・ガガ, Bradley Cooper"	A Star Is Born Soundtrack	"レディー・ガガ, Bradley Cooper"	215733	85	3	2021/9/11 21:07
事実愛	"ヒルクライム, 仲宗根泉"	MOON ～リメイクベスト2～	ヒルクライム	250453	42	4	2021/9/11 21:08
冬の花	宮本浩次	冬の花	宮本浩次	240613	44	1	2021/9/11 21:08
ヨリドコロ	ヒルクライム	THE MC	ヒルクライム	269013	20	7	2021/9/11 21:09
ヒトリゴト	ClariS	ヒトリゴト	ClariS	235093	34	6	2021/9/11 21:10
愛言葉III	DECO*27	アンドロイドガール	DECO*27	246333	0	7	2021/9/11 21:10
蕾(つぼみ)	コブクロ	ALL SINGLES BEST 2	コブクロ	363853	49	4	2021/9/11 21:11
Christmas in Tokyo	セレイナ・アン	Christmas in Tokyo	セレイナ・アン	245657	7	7	2021/9/11 21:13
Bansaku neender(男性ver.)	"ポプ子(CV:伊東健人), ピピ美(CV:木島隆一)"	ポプテピピック ALL TIME BEST2	ポプテピピック ALL TIME BEST	63733	4	5	2021/9/11 21:13
Key To Your Heart	"セレイナ・アン, マット・キャブ"	We Are One	セレイナ・アン	286880	7	8	2021/9/11 21:15
Koi	androp	Koi	androp	274120	42	7	2021/9/11 21:15
Voice	Pay money To my Pain	gene	Pay money To my Pain	485880	0	8	2021/9/11 21:15
Rescue Me	ワンリパブリック	Rescue Me	ワンリパブリック	158899	64	4	2021/9/11 21:16
イエスタデイ	Official髭男dism	Traveler	Official髭男dism	299164	63	2	2021/9/11 21:17
115万キロのフィルム	Official髭男dism	エスカパレード	Official髭男dism	324633	68	3	2021/9/11 21:17
Pretender	Official髭男dism	Pretender	Official髭男dism	326440	58	8	2021/9/11 21:17
Speechless	Dan + Shay	Dan + Shay	Dan + Shay	213386	68	7	2021/9/11 21:18
London	Mokita	London	Mokita	160225	51	7	2021/9/11 21:18
Talking to the Moon	ブルーノ・マーズ	Doo-Wops & Hooligans	ブルーノ・マーズ	217866	78	3	2021/9/11 21:18
Teo Torriatte (Let Us Cling Together)	クイーン	Greatest Hits (Remastered)	クイーン	307573	26	4	2021/9/11 21:19
Life Is Wonderful - Live in Amsterdam	ジェイソン・ムラーズ	We Sing. We Dance. We Steal Things. (Bonus Tracks Version)	ジェイソン・ムラーズ	275330	27	5	2021/9/11 21:20
Yukiyanagi （Album Version）	Micro	MAX OUT	Micro	237626	28	5	2021/9/11 21:20
P.D.A. (We Just Don't Care)	ジョン・レジェンド	Once Again	ジョン・レジェンド	278725	55	5	2021/9/11 21:20
Overload (feat. Miguel)	"ジョン・レジェンド, Miguel"	DARKNESS AND LIGHT	ジョン・レジェンド	200294	40	7	2021/9/11 21:21
Like I'm Gonna Lose You (feat. John Legend)	"メーガン・トレイナー, ジョン・レジェンド"	Title (Deluxe)	メーガン・トレイナー	225635	73	5	2021/9/11 21:21
